roam_ic_mou,roam_og_mou,loc_ic_t2m_mou,std_og_mou,Churned
1,1,12.94,90.36333333,0
1,1,10.39333333,0,0
1,1,46.18333333,37.97666667,0
1,176,51.78666667,19.58333333,0
2653,7610,11.46666667,1.45,0
1,1,214.5866667,0.91,0
1,1,13.24,5.386666667,0
1,1,10.43333333,0,0
4456,6880,0,0,1
3192,800,228.3266667,4.063333333,0
7014,8532,40.80666667,6.743333333,0
1,1,55.65,75.02,0
1,1,25.35666667,739.68,0
831,3044,192.5766667,44.60666667,0
1,1,108.06,90.77666667,0
1,1,419.7266667,2.086666667,0
1,1,9.643333333,4,0
1,1,10.08333333,0,0
1,1,30.10666667,0,0
402,427,3.903333333,163.11,0
1,1,32,61.16,0
1,1,115.1366667,33.17333333,0
5616,7702,298.5933333,1.336666667,0
1,1,183.7,67.36,0
1,1,142.6833333,260.6633333,0
1,1,243.12,310.2966667,0
1,1,3.283333333,37.66666667,0
1,1,167.73,0.843333333,0
1,1,64.03666667,0.436666667,0
1,1,94.95666667,0.05,0
1,1,8.846666667,1.753333333,0
1,1,6.233333333,320.7933333,1
1,1,15.6,108.1333333,0
1,1,0,0,1
1,1,56.05333333,0,0
1,1,120.35,1.863333333,0
1,1,554.5666667,0,0
3344,2398,5.976666667,258.12,0
429,3538,2.963333333,66.71,0
1,1,10.38666667,687.3966667,0
1,1,8.073333333,95.07333333,0
1,187,2.026666667,90.36333333,1
3176,8312,77.32666667,289.62,0
1,1,24.62666667,389.5166667,0
394,448,33.9,248.6633333,0
6702,1924,306.0433333,794.26,0
1,1,110.5066667,0,0
1,1,96.97666667,27.80333333,0
1,1,119.0033333,19.22333333,0
